Time,A,B,C,D,E,F,G,H,I
11/16/2016 19:26,,,,,,320.205702,,,
11/16/2016 19:26,,,,,,320.1718937,,,
11/16/2016 19:26,,,,,,310.6174776,,,
11/16/2016 19:26,,,,,,310.5932072,,,
11/16/2016 19:26,,,,,,302.0015194,,,
11/16/2016 19:26,,,,,,293.9731203,,,
11/16/2016 19:26,,,,,,301.9822131,,,
11/16/2016 19:26,,,,,,286.7055543,,,
11/16/2016 19:26,,,,,,286.6960909,,,
11/16/2016 19:26,,,,,,275.720802,,,
11/16/2016 19:26,,,,,,280.2965942,,,
11/16/2016 19:26,,,,,,275.7208021,,,
11/16/2016 19:26,,,,,,,276.3150363,,
11/16/2016 19:26,,,,,,,270,,
11/16/2016 19:26,,,,,,,270,,
11/16/2016 19:26,,,,,,,270,,
11/16/2016 19:26,,,,,,,270,,
11/16/2016 19:26,,,,,,,270,,
11/16/2016 19:26,,,,,,,270,,
11/16/2016 19:26,,,,,,,262.901436,,
11/16/2016 19:26,,,,,,,270,,
11/16/2016 19:26,,,,,,,257.4469281,,
11/16/2016 19:26,,,,,,,258.7032876,,
11/16/2016 19:26,,,,,,,267.1315931,,
11/16/2016 19:26,,,,,,,270,,
11/16/2016 19:26,,,,,,,270,,
11/16/2016 19:26,,,,,,,264.8281063,,
11/16/2016 19:26,,,,,,,270,,
11/16/2016 19:26,,,,,,,270,,
11/16/2016 19:26,,,,,,,270,,
11/16/2016 19:26,,,,,,,270,,
11/16/2016 19:26,,,,,,,264.279198,,
11/16/2016 19:26,,,,,,,270,,
11/16/2016 19:26,,,,,,,264.2757869,,
11/16/2016 19:26,,,,,,,270,,
11/16/2016 19:26,,,,,,,270,,
11/16/2016 19:26,,,,,,,270,,
11/16/2016 19:26,,,,,,,275.7242131,,
11/16/2016 19:26,,,,,,,270,,
11/16/2016 19:26,,,,,,,270,,
11/16/2016 19:26,,,,,,,264.2791979,,
11/16/2016 19:26,,,,,,,264.8253001,,
11/16/2016 19:26,,,,,,,258.6702397,,
11/16/2016 19:26,,,,,,,264.8253001,,
11/16/2016 19:26,,,,,,,264.2791979,,
11/16/2016 19:26,,,,,,,264.794298,,
11/16/2016 19:26,,,,,,,264.313229,,
11/16/2016 19:26,,,,,,,264.794298,,
11/16/2016 19:26,,,,,,,264.5650757,,
11/16/2016 19:27,,,,,,,264.7971208,,
11/16/2016 19:27,,,,,,,264.2757869,,
11/16/2016 19:27,,,,,,,270,,
11/16/2016 19:27,,,,,,,270,,
11/16/2016 19:27,,,,,,,263.6849637,,
11/16/2016 19:27,,,,,,,270,,
11/16/2016 19:27,,,,,,,270,,
11/16/2016 19:27,,,,,,,270,,
11/16/2016 19:27,,,,,,,270,,
11/16/2016 19:27,,,,,,,270,,
11/16/2016 19:27,,,,,,,270,,
11/16/2016 19:27,,,,,,,264.2791979,,
11/16/2016 19:27,,,,,,,264.2757869,,
11/16/2016 19:27,,,,,,,270,,
11/16/2016 19:27,,,,,,,270,,
11/16/2016 19:27,,,,,,,264.309838,,
11/16/2016 19:27,,,,,,,270,,
11/16/2016 19:27,,,,,,,270,,
11/16/2016 19:27,,,,,,,270,,
11/16/2016 19:27,,,,,,,273.1671367,,
11/16/2016 19:27,,,,,,,,264.3132291,
11/16/2016 19:27,,,,,,,,270,
11/16/2016 19:27,,,,,,,,264.2791979,
11/16/2016 19:27,,,,,,,,257.4833261,
11/16/2016 19:27,,,,,,,,257.4469281,
11/16/2016 19:27,,,,,,,,246.0587789,
11/16/2016 19:27,,,,,,,,234.4251534,
11/16/2016 19:27,,,,,,,,228.8444963,
11/16/2016 19:27,,,,,,,,220.5932071,
11/16/2016 19:27,,,,,,,,215.5190964,
11/16/2016 19:27,,,,,,,,209.7713337,
11/16/2016 19:27,,,,,,,,200.5466309,
11/16/2016 19:27,,,,,,,,188.1025827,
11/16/2016 19:27,,,,,,,,188.143849,
11/16/2016 19:27,,,,,,,,180,
11/16/2016 19:27,,,,,,,,,180
11/16/2016 19:27,,,,,,,,,168.6636152
11/16/2016 19:27,,,,,,,,,180
