Time,A,B,C,D,E,F,G,H,I,Expected,,Angle,Error,Error²,,Interval,RMSE
11/16/2016 19:23,90,,,,,,,,,180,,,,,,A,9.135340173
11/16/2016 19:23,90,,,,,,,,,180,,,,,,B,8.172868365
11/16/2016 19:23,180,,,,,,,,,180,,180,0,0,,C,4.980346566
11/16/2016 19:23,165.9435464,,,,,,,,,180,,165.9435464,14.0564536,197.5838878,,D,18.87195509
11/16/2016 19:23,170.5190964,,,,,,,,,180,,170.5190964,9.4809036,89.88753307,,E,4.558191365
11/16/2016 19:23,158.2104505,,,,,,,,,180,,158.2104505,21.7895495,474.7844674,,F,5.445472147
11/16/2016 19:23,170.5190964,,,,,,,,,180,,170.5190964,9.4809036,89.88753307,,G,4.352395799
11/16/2016 19:23,180,,,,,,,,,180,,180,0,0,,H,8.468846103
11/16/2016 19:23,168.7297551,,,,,,,,,180,,168.7297551,11.2702449,127.0184201,,I,6.545064816
11/16/2016 19:23,180,,,,,,,,,180,,180,0,0,,,
11/16/2016 19:24,168.6768566,,,,,,,,,180,,168.6768566,11.3231434,128.2135765,,,
11/16/2016 19:24,168.6636153,,,,,,,,,180,,168.6636153,11.3363847,128.5136181,,,
11/16/2016 19:24,168.7297551,,,,,,,,,180,,168.7297551,11.2702449,127.0184201,,,
11/16/2016 19:24,180,,,,,,,,,180,,180,0,0,,,
11/16/2016 19:24,180,,,,,,,,,180,,180,0,0,,,
11/16/2016 19:24,168.6636153,,,,,,,,,180,,168.6636153,11.3363847,128.5136181,,,
11/16/2016 19:24,180,,,,,,,,,180,,180,0,0,,,
11/16/2016 19:24,171.856151,,,,,,,,,180,,171.856151,8.143849,66.32227653,,,
11/16/2016 19:24,180,,,,,,,,,180,,180,0,0,,,
11/16/2016 19:24,170.5748466,,,,,,,,,180,,170.5748466,9.4251534,88.83351661,,,
11/16/2016 19:24,184.7446743,,,,,,,,,180,,184.7446743,4.7446743,22.51193421,,,
11/16/2016 19:24,180,,,,,,,,,180,,180,0,0,,,
11/16/2016 19:24,,170.5748466,,,,,,,,175,,170.5748466,4.4251534,19.58198261,,,
11/16/2016 19:24,,180,,,,,,,,170,,180,10,100,,,
11/16/2016 19:24,,170.5190964,,,,,,,,165,,170.5190964,5.5190964,30.46042507,,,
11/16/2016 19:24,,171.8492604,,,,,,,,160,,171.8492604,11.8492604,140.404972,,,
11/16/2016 19:24,,161.5822416,,,,,,,,155,,161.5822416,6.5822416,43.32590448,,,
11/16/2016 19:24,,150.2498316,,,,,,,,150,,150.2498316,0.2498316,0.062415828,,,
11/16/2016 19:24,,150.2868527,,,,,,,,145,,150.2868527,5.2868527,27.95081147,,,
11/16/2016 19:24,,140.1718937,,,,,,,,140,,140.1718937,0.1718937,0.029547444,,,
11/16/2016 19:24,,135,,,,,,,,135,,135,0,0,,,
11/16/2016 19:24,,130.6174776,,,,,,,,130,,130.6174776,0.6174776,0.381278587,,,
11/16/2016 19:24,,125.5190964,,,,,,,,125,,125.5190964,0.5190964,0.269461072,,,
11/16/2016 19:24,,125.5190964,,,,,,,,120,,125.5190964,5.5190964,30.46042507,,,
11/16/2016 19:24,,119.7713336,,,,,,,,115,,119.7713336,4.7713336,22.76562432,,,
11/16/2016 19:24,,121.9822131,,,,,,,,110,,121.9822131,11.9822131,143.5734308,,,
11/16/2016 19:24,,110.5607555,,,,,,,,105,,110.5607555,5.5607555,30.92200173,,,
11/16/2016 19:24,,116.5822416,,,,,,,,100,,116.5822416,16.5822416,274.9707365,,,
11/16/2016 19:24,,108.4349488,,,,,,,,95,,108.4349488,13.4349488,180.4978493,,,
11/16/2016 19:24,,102.5166739,,,,,,,,90,,102.5166739,12.5166739,156.6671255,,,
11/16/2016 19:24,,,96.35276857,,,,,,,90,,96.35276857,6.35276857,40.3576685,,,
11/16/2016 19:24,,,90,,,,,,,90,,90,0,0,,,
11/16/2016 19:24,,,90,,,,,,,90,,90,0,0,,,
11/16/2016 19:24,,,83.64723142,,,,,,,90,,83.64723142,6.35276858,40.35766863,,,
11/16/2016 19:24,,,90,,,,,,,90,,90,0,0,,,
11/16/2016 19:24,,,84.31322907,,,,,,,90,,84.31322907,5.68677093,32.33936361,,,
11/16/2016 19:24,,,90,,,,,,,90,,90,0,0,,,
11/16/2016 19:24,,,90,,,,,,,90,,90,0,0,,,
11/16/2016 19:24,,,90,,,,,,,90,,90,0,0,,,
11/16/2016 19:24,,,84.54885278,,,,,,,90,,84.54885278,5.45114722,29.71500601,,,
11/16/2016 19:24,,,84.82530006,,,,,,,90,,84.82530006,5.17469994,26.77751947,,,
11/16/2016 19:24,,,84.27919795,,,,,,,90,,84.27919795,5.72080205,32.7275761,,,
11/16/2016 19:24,,,84.79429796,,,,,,,90,,84.79429796,5.20570204,27.09933373,,,
11/16/2016 19:24,,,90,,,,,,,90,,90,0,0,,,
11/16/2016 19:24,,,79.70890013,,,,,,,90,,79.70890013,10.29109987,105.9067365,,,
11/16/2016 19:24,,,80.54696923,,,,,,,90,,80.54696923,9.45303077,89.35979074,,,
11/16/2016 19:24,,,84.79429796,,,,,,,90,,84.79429796,5.20570204,27.09933373,,,
11/16/2016 19:24,,,90,,,,,,,90,,90,0,0,,,
11/16/2016 19:24,,,84.27919794,,,,,,,90,,84.27919794,5.72080206,32.72757621,,,
11/16/2016 19:24,,,84.82530009,,,,,,,90,,84.82530009,5.17469991,26.77751916,,,
11/16/2016 19:24,,,90,,,,,,,90,,90,0,0,,,
11/16/2016 19:24,,,84.27919795,,,,,,,90,,84.27919795,5.72080205,32.7275761,,,
11/16/2016 19:24,,,90,,,,,,,90,,90,0,0,,,
11/16/2016 19:24,,,84.27919797,,,,,,,90,,84.27919797,5.72080203,32.72757587,,,
11/16/2016 19:24,,,83.68496372,,,,,,,90,,83.68496372,6.31503628,39.87968322,,,
11/16/2016 19:24,,,83.64723143,,,,,,,90,,83.64723143,6.35276857,40.3576685,,,
11/16/2016 19:24,,,90,,,,,,,90,,90,0,0,,,
11/16/2016 19:24,,,83.64723146,,,,,,,90,,83.64723146,6.35276854,40.35766812,,,
11/16/2016 19:25,,,90,,,,,,,90,,90,0,0,,,
11/16/2016 19:25,,,84.31322904,,,,,,,90,,84.31322904,5.68677096,32.33936395,,,
11/16/2016 19:25,,,84.79429796,,,,,,,90,,84.79429796,5.20570204,27.09933373,,,
11/16/2016 19:25,,,84.27919794,,,,,,,90,,84.27919794,5.72080206,32.72757621,,,
11/16/2016 19:25,,,78.70328761,,,,,,,90,,78.70328761,11.29671239,127.6157108,,,
11/16/2016 19:25,,,90,,,,,,,90,,90,0,0,,,
11/16/2016 19:25,,,84.27919794,,,,,,,90,,84.27919794,5.72080206,32.72757621,,,
11/16/2016 19:25,,,84.82530009,,,,,,,90,,84.82530009,5.17469991,26.77751916,,,
11/16/2016 19:25,,,84.27919794,,,,,,,90,,84.27919794,5.72080206,32.72757621,,,
11/16/2016 19:25,,,90,,,,,,,90,,90,0,0,,,
11/16/2016 19:25,,,83.64723142,,,,,,,90,,83.64723142,6.35276858,40.35766863,,,
11/16/2016 19:25,,,90,,,,,,,90,,90,0,0,,,
11/16/2016 19:25,,,90,,,,,,,90,,90,0,0,,,
11/16/2016 19:25,,,82.90143601,,,,,,,90,,82.90143601,7.09856399,50.38961072,,,
