Epoch Time,Heading
2016/8/5 20:36:09,237.69,@
2016/8/5 20:36:10,231.94,@
2016/8/5 20:36:11,215.38,@
2016/8/5 20:36:12,223.5,@
2016/8/5 20:36:13,224.31,@
2016/8/5 20:36:14,229.5,@
2016/8/5 20:36:15,231.0,@
2016/8/5 20:36:16,236.31,@
2016/8/5 20:36:17,236.81,@
2016/8/5 20:36:18,237.06,@
2016/8/5 20:36:19,237.31,@
2016/8/5 20:36:20,237.0,@
2016/8/5 20:36:21,237.38,@
2016/8/5 20:36:22,237.25,@
2016/8/5 20:36:23,237.25,@
2016/8/5 20:36:24,237.25,@
2016/8/5 20:36:25,237.25,@
2016/8/5 20:36:26,237.25,@
2016/8/5 20:36:27,237.25,@
2016/8/5 20:36:28,237.25,@
2016/8/5 20:36:29,237.25,@
2016/8/5 20:36:30,237.25,@
2016/8/5 20:36:31,237.25,@
2016/8/5 20:36:32,237.25,@
2016/8/5 20:36:33,237.25,@
2016/8/5 20:36:34,237.25,@
2016/8/5 20:36:35,237.25,@
2016/8/5 20:36:36,237.25,@
2016/8/5 20:36:37,237.25,@
2016/8/5 20:36:38,237.25,@
2016/8/5 20:36:39,237.25,@
2016/8/5 20:36:40,237.25,@
2016/8/5 20:36:41,237.25,@
2016/8/5 20:36:42,237.25,@
2016/8/5 20:36:43,237.25,@
2016/8/5 20:36:44,237.25,@
2016/8/5 20:36:45,237.25,@
2016/8/5 20:36:46,237.25,@
2016/8/5 20:36:47,237.25,@
2016/8/5 20:36:48,237.25,@
2016/8/5 20:36:49,237.25,@
2016/8/5 20:36:50,237.25,@
2016/8/5 20:36:51,237.25,@
2016/8/5 20:36:52,237.25,A
2016/8/5 20:36:53,237.25,D
2016/8/5 20:36:54,237.25,D
2016/8/5 20:36:55,237.25,D
2016/8/5 20:36:56,237.25,D
2016/8/5 20:36:57,237.25,D
2016/8/5 20:36:58,237.25,D
2016/8/5 20:37:00,237.25,D
2016/8/5 20:37:01,237.25,D
2016/8/5 20:37:02,237.25,D
2016/8/5 20:37:03,237.25,D
2016/8/5 20:37:04,237.25,D
2016/8/5 20:37:05,237.25,D
2016/8/5 20:37:06,237.25,D
2016/8/5 20:37:07,237.25,D
2016/8/5 20:37:08,237.25,D
2016/8/5 20:37:09,237.25,D
2016/8/5 20:37:10,237.25,D
2016/8/5 20:37:11,237.25,D
2016/8/5 20:37:12,237.25,D
2016/8/5 20:37:13,238.06,D
2016/8/5 20:37:14,237.94,D
2016/8/5 20:37:15,237.94,D
2016/8/5 20:37:16,237.94,D
2016/8/5 20:37:17,237.94,D
2016/8/5 20:37:18,237.94,D
2016/8/5 20:37:19,237.94,D
2016/8/5 20:37:20,237.94,D
2016/8/5 20:37:21,237.94,D
2016/8/5 20:37:22,237.94,D
2016/8/5 20:37:23,237.94,D
2016/8/5 20:37:24,237.94,D
2016/8/5 20:37:25,237.94,D
2016/8/5 20:37:26,237.94,D
2016/8/5 20:37:27,237.94,D
2016/8/5 20:37:28,237.94,D
2016/8/5 20:37:29,237.94,D
2016/8/5 20:37:30,237.94,D
2016/8/5 20:37:31,237.94,D
2016/8/5 20:37:32,237.94,D
2016/8/5 20:37:33,237.94,D
2016/8/5 20:37:34,237.94,D
2016/8/5 20:37:35,237.94,D
2016/8/5 20:37:36,237.88,D
2016/8/5 20:37:37,237.88,D
2016/8/5 20:37:38,236.5,D
2016/8/5 20:37:39,236.19,D
2016/8/5 20:37:40,236.75,D
2016/8/5 20:37:41,236.88,D
2016/8/5 20:37:42,237.31,D
2016/8/5 20:37:43,237.31,D
2016/8/5 20:37:44,237.31,D
2016/8/5 20:37:45,237.31,D
2016/8/5 20:37:46,237.31,D
2016/8/5 20:37:47,237.31,D
2016/8/5 20:37:48,237.31,D
2016/8/5 20:37:49,237.31,D
2016/8/5 20:37:50,237.31,D
2016/8/5 20:37:51,237.31,D
2016/8/5 20:37:53,237.31,D
2016/8/5 20:37:54,237.31,D
2016/8/5 20:37:55,237.31,D
2016/8/5 20:37:56,237.31,D
2016/8/5 20:37:57,237.31,D
2016/8/5 20:37:58,237.31,D
2016/8/5 20:37:59,237.31,D
2016/8/5 20:38:00,237.31,D
2016/8/5 20:38:01,237.31,D
2016/8/5 20:38:02,237.31,D
2016/8/5 20:38:03,237.31,D
2016/8/5 20:38:04,237.31,D
2016/8/5 20:38:05,237.31,D
2016/8/5 20:38:06,237.31,D
2016/8/5 20:38:07,237.31,D
2016/8/5 20:38:08,237.31,D
2016/8/5 20:38:09,237.31,D
2016/8/5 20:38:10,237.31,D
2016/8/5 20:38:11,237.31,D
2016/8/5 20:38:12,237.31,D
2016/8/5 20:38:13,237.31,D
2016/8/5 20:38:14,237.31,D
2016/8/5 20:38:15,237.31,D
