Epoch,Time,Heading,,
2016/8/3,06:02:27 AM,186.19,,180
2016/8/3,06:02:28 AM,184.31,,180
2016/8/3,06:02:29 AM,182.69,,180
2016/8/3,06:02:30 AM,188.56,,180
2016/8/3,06:02:31 AM,188.38,,180
2016/8/3,06:02:32 AM,187.75,,180
2016/8/3,06:02:33 AM,188.31,,180
2016/8/3,06:02:34 AM,187.5,,180
2016/8/3,06:02:35 AM,187.06,,180
2016/8/3,06:02:36 AM,188.81,,180
2016/8/3,06:02:37 AM,190,,180
2016/8/3,06:02:38 AM,186.06,,180
2016/8/3,06:02:39 AM,183.69,,180
2016/8/3,06:02:40 AM,184.25,,180
2016/8/3,06:02:41 AM,186.75,,180
2016/8/3,06:02:42 AM,187.31,,180
2016/8/3,06:02:43 AM,190.19,,180
2016/8/3,06:02:44 AM,186.63,,180
2016/8/3,06:02:45 AM,187.31,,180
2016/8/3,06:02:46 AM,187.31,,180
2016/8/3,06:02:47 AM,186.31,,180
2016/8/3,06:02:48 AM,186.69,,180
2016/8/3,06:02:49 AM,186.75,,180
2016/8/3,06:02:50 AM,183.75,,180
2016/8/3,06:02:51 AM,184.25,,180
2016/8/3,06:02:52 AM,185.38,,180
2016/8/3,06:02:53 AM,185,,180
2016/8/3,06:02:54 AM,190.56,,180
2016/8/3,06:02:55 AM,189.63,,180
2016/8/3,06:02:56 AM,188.31,,180
2016/8/3,06:02:57 AM,191.06,,180
2016/8/3,06:02:58 AM,190.31,,180
2016/8/3,06:02:59 AM,192.44,,180
2016/8/3,06:03:00 AM,190.81,,180
2016/8/3,06:03:01 AM,192.19,,180
2016/8/3,06:03:02 AM,188.56,,180
2016/8/3,06:03:03 AM,188.56,,180
2016/8/3,06:03:04 AM,185.81,,180
2016/8/3,06:03:05 AM,184.06,,180
2016/8/3,06:03:06 AM,186.81,,180
2016/8/3,06:03:07 AM,188.25,,180
2016/8/3,06:03:08 AM,188.19,,180
2016/8/3,06:03:09 AM,186.06,,180
2016/8/3,06:03:10 AM,180.19,,180
2016/8/3,06:03:11 AM,173.81,,180
2016/8/3,06:03:12 AM,179.5,,180
2016/8/3,06:03:13 AM,182.81,,180
2016/8/3,06:03:14 AM,183.44,,180
2016/8/3,06:03:15 AM,184.5,,180
2016/8/3,06:03:16 AM,182.81,,180
2016/8/3,06:03:17 AM,179.56,,180
2016/8/3,06:03:18 AM,180.06,,180
2016/8/3,06:03:19 AM,176.88,,180
2016/8/3,06:03:20 AM,176.31,,180
2016/8/3,06:03:22 AM,176.81,,180
2016/8/3,06:03:23 AM,175.38,,180
2016/8/3,06:03:24 AM,177.44,,180
2016/8/3,06:03:25 AM,176,,180
2016/8/3,06:03:26 AM,183.63,,180
2016/8/3,06:03:27 AM,235.19,,270
2016/8/3,06:03:28 AM,265.13,,270
2016/8/3,06:03:29 AM,279.88,,270
2016/8/3,06:03:30 AM,279.56,,270
2016/8/3,06:03:31 AM,276.56,,270
2016/8/3,06:03:32 AM,280.88,,270
2016/8/3,06:03:33 AM,280.38,,270
2016/8/3,06:03:34 AM,278.63,,270
2016/8/3,06:03:35 AM,278.69,,270
2016/8/3,06:03:36 AM,278.13,,270
2016/8/3,06:03:37 AM,278.75,,270
2016/8/3,06:03:38 AM,278.69,,270
2016/8/3,06:03:39 AM,277.69,,270
2016/8/3,06:03:40 AM,278.81,,270
2016/8/3,06:03:41 AM,279.25,,270
2016/8/3,06:03:42 AM,279.25,,270
2016/8/3,06:03:43 AM,281.06,,270
2016/8/3,06:03:44 AM,282.44,,270
2016/8/3,06:03:45 AM,279.63,,270
2016/8/3,06:03:46 AM,279.94,,270
2016/8/3,06:03:47 AM,281.44,,270
2016/8/3,06:03:48 AM,282.38,,270
2016/8/3,06:03:49 AM,282.69,,270
2016/8/3,06:03:50 AM,285.56,,270
2016/8/3,06:03:51 AM,280.75,,270
2016/8/3,06:03:52 AM,279.88,,270
2016/8/3,06:03:53 AM,280.56,,270
2016/8/3,06:03:54 AM,282.94,,270
2016/8/3,06:03:55 AM,282.44,,270
2016/8/3,06:03:56 AM,283.56,,270
2016/8/3,06:03:57 AM,280.94,,270
2016/8/3,06:03:58 AM,283.06,,270
2016/8/3,06:03:59 AM,284.19,,270
2016/8/3,06:04:00 AM,287.25,,270
2016/8/3,06:04:01 AM,285.56,,270
2016/8/3,06:04:02 AM,286.69,,270
2016/8/3,06:04:03 AM,284.25,,270
2016/8/3,06:04:04 AM,282.06,,270
2016/8/3,06:04:05 AM,283.06,,270
2016/8/3,06:04:06 AM,281,,270
2016/8/3,06:04:07 AM,281,,270
2016/8/3,06:04:09 AM,281.25,,270
2016/8/3,06:04:10 AM,283.56,,270
2016/8/3,06:04:11 AM,281.56,,270
2016/8/3,06:04:12 AM,282,,270
2016/8/3,06:04:13 AM,284.06,,270
2016/8/3,06:04:14 AM,287.63,,270
2016/8/3,06:04:15 AM,283.63,,270
2016/8/3,06:04:16 AM,282.38,,270
2016/8/3,06:04:17 AM,286.69,,270
2016/8/3,06:04:18 AM,284.88,,270
2016/8/3,06:04:19 AM,283.31,,270
2016/8/3,06:04:20 AM,283.19,,180
2016/8/3,06:04:21 AM,277.75,,180
2016/8/3,06:04:22 AM,261.75,,180
2016/8/3,06:04:23 AM,234.38,,180
2016/8/3,06:04:24 AM,210.94,,180
2016/8/3,06:04:25 AM,194.94,,180
2016/8/3,06:04:26 AM,192.81,,180
2016/8/3,06:04:27 AM,193.38,,180
2016/8/3,06:04:28 AM,188.06,,180
2016/8/3,06:04:29 AM,189.56,,180
2016/8/3,06:04:30 AM,195.31,,180
2016/8/3,06:04:31 AM,198.81,,180
2016/8/3,06:04:32 AM,196.31,,180
2016/8/3,06:04:33 AM,193.19,,180
2016/8/3,06:04:34 AM,192.88,,180
2016/8/3,06:04:35 AM,196.31,,180
2016/8/3,06:04:36 AM,193.88,,180
2016/8/3,06:04:37 AM,193.44,,180
2016/8/3,06:04:38 AM,190.38,,180
2016/8/3,06:04:39 AM,194,,180
2016/8/3,06:04:40 AM,189.63,,180
2016/8/3,06:04:41 AM,192.31,,180
2016/8/3,06:04:42 AM,186,,180
2016/8/3,06:04:43 AM,188.06,,180
2016/8/3,06:04:44 AM,182.75,,180
2016/8/3,06:04:45 AM,187.25,,180
2016/8/3,06:04:46 AM,194.25,,180
2016/8/3,06:04:47 AM,193.38,,180
2016/8/3,06:04:48 AM,196.81,,180
2016/8/3,06:04:49 AM,194.63,,180
2016/8/3,06:04:50 AM,215.25,,270
2016/8/3,06:04:51 AM,240.31,,270
2016/8/3,06:04:52 AM,263.88,,270
2016/8/3,06:04:53 AM,275.44,,270
2016/8/3,06:04:54 AM,277.75,,270
2016/8/3,06:04:55 AM,272.81,,270
2016/8/3,06:04:56 AM,269.31,,270
2016/8/3,06:04:57 AM,271.69,,270
2016/8/3,06:04:58 AM,272.13,,270
2016/8/3,06:04:59 AM,276.31,,270
2016/8/3,06:05:01 AM,271.94,,270
2016/8/3,06:05:02 AM,268.19,,270
2016/8/3,06:05:03 AM,266.06,,270
2016/8/3,06:05:04 AM,261.63,,270
2016/8/3,06:05:05 AM,255.38,,270
2016/8/3,06:05:06 AM,265.38,,270
2016/8/3,06:05:07 AM,270.25,,270
2016/8/3,06:05:08 AM,274.06,,270
2016/8/3,06:05:09 AM,281.63,,270
2016/8/3,06:05:10 AM,290.81,,270
2016/8/3,06:05:11 AM,290.38,,270
2016/8/3,06:05:12 AM,298.63,,360
2016/8/3,06:05:13 AM,318.5,,360
2016/8/3,06:05:14 AM,349.88,,360
2016/8/3,06:05:15 AM,4.88,,0
2016/8/3,06:05:16 AM,9.38,,0
2016/8/3,06:05:17 AM,9.63,,0
2016/8/3,06:05:18 AM,13.88,,0
2016/8/3,06:05:19 AM,17.62,,0
2016/8/3,06:05:20 AM,19.69,,0
2016/8/3,06:05:21 AM,19.12,,0
2016/8/3,06:05:22 AM,16.19,,0
2016/8/3,06:05:23 AM,17.31,,0
2016/8/3,06:05:24 AM,17.69,,0
2016/8/3,06:05:25 AM,18,,0
2016/8/3,06:05:26 AM,18.19,,0
2016/8/3,06:05:27 AM,18.19,,0
2016/8/3,06:05:28 AM,20.44,,0
2016/8/3,06:05:29 AM,22.81,,0
2016/8/3,06:05:30 AM,27.75,,0
2016/8/3,06:05:31 AM,21.94,,0
2016/8/3,06:05:32 AM,22.19,,0
2016/8/3,06:05:33 AM,22.44,,0
2016/8/3,06:05:34 AM,22.25,,0
2016/8/3,06:05:35 AM,21.81,,0
2016/8/3,06:05:36 AM,23.19,,0
