Epoch Time,Heading
2016/8/5 20:46:23,323.19,@
2016/8/5 20:46:25,144.06,@
2016/8/5 20:46:26,166.44,@
2016/8/5 20:46:27,172.31,@
2016/8/5 20:46:28,168.81,@
2016/8/5 20:46:29,176.25,@
2016/8/5 20:46:30,156.13,@
2016/8/5 20:46:31,132.19,@
2016/8/5 20:46:32,126.87,@
2016/8/5 20:46:33,125.69,@
2016/8/5 20:46:34,125.12,@
2016/8/5 20:46:35,125.12,@
2016/8/5 20:46:36,125.12,@
2016/8/5 20:46:37,124.37,@
2016/8/5 20:46:38,124.37,@
2016/8/5 20:46:39,124.37,@
2016/8/5 20:46:40,124.37,B
2016/8/5 20:46:41,124.37,G
2016/8/5 20:46:42,124.37,G
2016/8/5 20:46:43,124.37,G
2016/8/5 20:46:44,128.13,G
2016/8/5 20:46:45,128.06,G
2016/8/5 20:46:46,130.69,G
2016/8/5 20:46:47,133.94,G
2016/8/5 20:46:48,138.63,G
2016/8/5 20:46:49,135.56,G
2016/8/5 20:46:50,130.75,G
2016/8/5 20:46:51,127.56,G
2016/8/5 20:46:52,124.94,G
2016/8/5 20:46:53,121.69,G
2016/8/5 20:46:54,122.06,G
2016/8/5 20:46:55,124.87,G
2016/8/5 20:46:56,124.19,G
2016/8/5 20:46:57,124.62,G
2016/8/5 20:46:58,125.87,G
2016/8/5 20:46:59,127.56,G
2016/8/5 20:47:00,127.56,G
2016/8/5 20:47:01,127.75,G
2016/8/5 20:47:02,128.06,G
2016/8/5 20:47:03,128.38,G
2016/8/5 20:47:04,128.75,G
2016/8/5 20:47:05,127.87,G
2016/8/5 20:47:06,128.56,G
2016/8/5 20:47:07,130.06,G
2016/8/5 20:47:08,127.94,G
2016/8/5 20:47:09,128.88,G
2016/8/5 20:47:10,125.81,G
2016/8/5 20:47:11,124.81,G
2016/8/5 20:47:12,124.19,G
2016/8/5 20:47:13,125.5,G
2016/8/5 20:47:14,126.5,G
2016/8/5 20:47:15,127.87,G
2016/8/5 20:47:16,126.0,G
2016/8/5 20:47:18,126.06,G
2016/8/5 20:47:19,127.69,G
2016/8/5 20:47:20,125.87,G
2016/8/5 20:47:21,125.37,G
2016/8/5 20:47:22,126.44,G
2016/8/5 20:47:23,127.62,G
2016/8/5 20:47:24,127.87,G
2016/8/5 20:47:25,128.0,G
2016/8/5 20:47:26,128.0,G
2016/8/5 20:47:27,128.0,G
2016/8/5 20:47:28,128.0,G
2016/8/5 20:47:29,128.0,G
2016/8/5 20:47:30,128.06,G
2016/8/5 20:47:31,128.06,G
2016/8/5 20:47:32,128.5,G
2016/8/5 20:47:33,128.44,G
2016/8/5 20:47:34,127.25,G
2016/8/5 20:47:35,127.44,G
2016/8/5 20:47:36,126.81,G
2016/8/5 20:47:37,128.38,G
2016/8/5 20:47:38,128.56,G
2016/8/5 20:47:39,132.94,G
2016/8/5 20:47:40,130.38,G
2016/8/5 20:47:41,129.88,G
2016/8/5 20:47:42,130.13,G
2016/8/5 20:47:43,129.88,G
2016/8/5 20:47:44,130.38,G
2016/8/5 20:47:45,130.13,G
2016/8/5 20:47:46,130.44,G
2016/8/5 20:47:47,130.94,G
2016/8/5 20:47:48,132.81,G
2016/8/5 20:47:49,134.88,G
2016/8/5 20:47:50,132.75,G
2016/8/5 20:47:51,134.75,G
2016/8/5 20:47:52,134.5,G
2016/8/5 20:47:53,133.63,G
2016/8/5 20:47:54,132.5,G
2016/8/5 20:47:55,133.75,G
2016/8/5 20:47:56,135.13,G
2016/8/5 20:47:57,136.5,G
2016/8/5 20:47:58,138.44,G
2016/8/5 20:47:59,139.81,G
2016/8/5 20:48:00,139.63,G
2016/8/5 20:48:01,139.88,G
2016/8/5 20:48:02,139.06,G
2016/8/5 20:48:03,136.88,G
2016/8/5 20:48:04,136.69,G
2016/8/5 20:48:05,139.94,G
2016/8/5 20:48:06,139.56,G
2016/8/5 20:48:07,135.13,G
2016/8/5 20:48:08,135.56,G
2016/8/5 20:48:09,130.38,G
2016/8/5 20:48:10,132.13,G
2016/8/5 20:48:11,133.5,G
2016/8/5 20:48:13,138.31,G
2016/8/5 20:48:14,136.94,G
2016/8/5 20:48:15,136.75,G
2016/8/5 20:48:16,138.75,G
2016/8/5 20:48:17,138.94,G
2016/8/5 20:48:18,138.5,G
2016/8/5 20:48:19,141.44,G
2016/8/5 20:48:20,142.5,G
2016/8/5 20:48:21,142.38,G
2016/8/5 20:48:22,142.0,G
2016/8/5 20:48:23,141.88,G
2016/8/5 20:48:24,138.88,G
2016/8/5 20:48:25,141.19,G
2016/8/5 20:48:26,139.5,G
2016/8/5 20:48:27,139.5,G
2016/8/5 20:48:28,140.63,G
2016/8/5 20:48:29,144.88,G
2016/8/5 20:48:30,149.38,G
2016/8/5 20:48:31,148.63,H
2016/8/5 20:48:32,152.44,H
2016/8/5 20:48:33,150.56,H
2016/8/5 20:48:34,149.63,H
2016/8/5 20:48:35,150.0,H
2016/8/5 20:48:36,151.75,H
2016/8/5 20:48:37,153.0,H
2016/8/5 20:48:38,151.88,H
2016/8/5 20:48:39,157.38,H
2016/8/5 20:48:40,160.94,H
2016/8/5 20:48:41,166.0,H
2016/8/5 20:48:42,172.69,H
2016/8/5 20:48:43,179.25,H
2016/8/5 20:48:44,181.56,H
2016/8/5 20:48:45,183.38,H
2016/8/5 20:48:46,190.56,H
2016/8/5 20:48:47,193.0,H
2016/8/5 20:48:48,196.69,H
2016/8/5 20:48:49,200.81,H
2016/8/5 20:48:50,198.31,H
2016/8/5 20:48:51,203.31,H
2016/8/5 20:48:52,204.31,H
2016/8/5 20:48:53,205.94,H
2016/8/5 20:48:54,205.38,H
2016/8/5 20:48:55,204.88,H
2016/8/5 20:48:56,207.31,H
2016/8/5 20:48:57,211.0,H
2016/8/5 20:48:58,216.13,H
2016/8/5 20:48:59,220.25,H
2016/8/5 20:49:00,224.06,H
2016/8/5 20:49:01,225.75,H
2016/8/5 20:49:02,227.25,H
2016/8/5 20:49:03,230.5,H
2016/8/5 20:49:04,233.31,H
2016/8/5 20:49:05,235.31,H
2016/8/5 20:49:06,233.81,H
2016/8/5 20:49:07,236.56,H
2016/8/5 20:49:08,234.5,H
2016/8/5 20:49:09,232.38,H
2016/8/5 20:49:10,233.94,H
2016/8/5 20:49:11,238.06,H
2016/8/5 20:49:12,240.44,H
2016/8/5 20:49:13,238.06,H
2016/8/5 20:49:14,241.56,H
2016/8/5 20:49:16,237.81,H
2016/8/5 20:49:17,237.44,H
2016/8/5 20:49:18,235.94,H
2016/8/5 20:49:19,235.88,H
2016/8/5 20:49:20,235.94,H
2016/8/5 20:49:21,235.94,H
2016/8/5 20:49:22,235.94,H
2016/8/5 20:49:23,235.94,H
2016/8/5 20:49:24,235.94,H
2016/8/5 20:49:25,235.94,H
2016/8/5 20:49:26,236.0,H
2016/8/5 20:49:27,236.56,H
2016/8/5 20:49:28,236.5,H
2016/8/5 20:49:29,236.5,H
2016/8/5 20:49:30,236.5,H
2016/8/5 20:49:31,236.5,H
2016/8/5 20:49:32,236.5,H
2016/8/5 20:49:33,236.5,H
2016/8/5 20:49:34,236.63,H
2016/8/5 20:49:35,244.31,H
2016/8/5 20:49:36,254.75,I
2016/8/5 20:49:37,268.94,I
2016/8/5 20:49:38,283.63,I
2016/8/5 20:49:39,296.69,I
2016/8/5 20:49:40,304.31,I
2016/8/5 20:49:41,312.69,I
2016/8/5 20:49:42,317.81,I
2016/8/5 20:49:43,320.5,I
2016/8/5 20:49:44,322.81,I
2016/8/5 20:49:45,323.88,I
2016/8/5 20:49:46,322.88,I
2016/8/5 20:49:47,321.94,I
2016/8/5 20:49:48,324.19,I
2016/8/5 20:49:49,322.38,I
2016/8/5 20:49:50,322.25,I
2016/8/5 20:49:51,322.0,I
2016/8/5 20:49:52,323.19,I
2016/8/5 20:49:53,322.94,I
2016/8/5 20:49:54,324.94,I
2016/8/5 20:49:55,321.81,I
2016/8/5 20:49:56,321.44,I
2016/8/5 20:49:57,324.25,I
2016/8/5 20:49:58,325.88,I
2016/8/5 20:49:59,325.0,I
2016/8/5 20:50:00,323.81,I
2016/8/5 20:50:01,322.25,I
2016/8/5 20:50:02,321.06,I
2016/8/5 20:50:03,321.5,I
2016/8/5 20:50:04,320.75,I
2016/8/5 20:50:05,319.69,I
2016/8/5 20:50:06,319.31,I
