Epoch Time,Heading
2016/8/3 20:44:13,0.06,@
2016/8/3 20:44:14,16.12,@
2016/8/3 20:44:15,16.31,@
2016/8/3 20:44:16,26.75,@
2016/8/3 20:44:17,32.19,@
2016/8/3 20:44:18,28.94,@
2016/8/3 20:44:19,38.38,@
2016/8/3 20:44:20,36.5,@
2016/8/3 20:44:21,273.44,@
2016/8/3 20:44:22,279.88,@
2016/8/3 20:44:23,264.0,@
2016/8/3 20:44:24,269.88,@
2016/8/3 20:44:25,275.25,@
2016/8/3 20:44:26,269.0,@
2016/8/3 20:44:27,273.38,@
2016/8/3 20:44:28,275.88,@
2016/8/3 20:44:29,277.5,@
2016/8/3 20:44:30,267.56,@
2016/8/3 20:44:31,266.19,@
2016/8/3 20:44:32,265.94,@
2016/8/3 20:44:33,275.44,@
2016/8/3 20:44:34,240.13,@
2016/8/3 20:44:35,269.0,@
2016/8/3 20:44:36,269.25,@
2016/8/3 20:44:37,259.63,@
2016/8/3 20:44:38,258.75,@
2016/8/3 20:44:39,275.13,@
2016/8/3 20:44:40,288.5,@
2016/8/3 20:44:41,285.19,@
2016/8/3 20:44:42,283.31,@
2016/8/3 20:44:43,284.94,@
2016/8/3 20:44:44,275.75,@
2016/8/3 20:44:45,249.0,@
2016/8/3 20:44:46,255.63,@
2016/8/3 20:44:47,274.44,@
2016/8/3 20:44:49,283.56,@
2016/8/3 20:44:50,274.5,@
2016/8/3 20:44:51,267.06,@
2016/8/3 20:44:52,244.88,@
2016/8/3 20:44:53,238.31,@
2016/8/3 20:44:54,212.25,@
2016/8/3 20:44:55,214.63,@
2016/8/3 20:44:56,211.56,@
2016/8/3 20:44:57,212.31,@
2016/8/3 20:44:58,207.31,@
2016/8/3 20:44:59,199.13,@
2016/8/3 20:45:00,190.44,@
2016/8/3 20:45:01,186.38,@
2016/8/3 20:45:02,185.13,@
2016/8/3 20:45:03,184.44,@
2016/8/3 20:45:04,184.69,@
2016/8/3 20:45:05,184.88,@
2016/8/3 20:45:06,185.44,@
2016/8/3 20:45:07,185.94,@
2016/8/3 20:45:08,187.75,@
2016/8/3 20:45:09,167.94,@
2016/8/3 20:45:10,134.44,@
2016/8/3 20:45:11,100.87,@
2016/8/3 20:45:12,89.37,@
2016/8/3 20:45:13,84.62,@
2016/8/3 20:45:14,83.0,@
2016/8/3 20:45:15,83.12,@
2016/8/3 20:45:16,132.63,@
2016/8/3 20:45:17,186.25,@
2016/8/3 20:45:18,189.38,@
2016/8/3 20:45:19,189.69,@
2016/8/3 20:45:20,176.38,@
2016/8/3 20:45:21,182.19,@
2016/8/3 20:45:22,195.94,@
2016/8/3 20:45:23,180.13,A
2016/8/3 20:45:24,188.06,A
2016/8/3 20:45:25,189.56,A
2016/8/3 20:45:26,189.56,A
2016/8/3 20:45:27,186.69,A
2016/8/3 20:45:28,189.13,A
2016/8/3 20:45:29,184.31,A
2016/8/3 20:45:30,184.81,A
2016/8/3 20:45:31,186.19,A
2016/8/3 20:45:32,186.31,A
2016/8/3 20:45:33,183.88,A
2016/8/3 20:45:34,184.69,A
2016/8/3 20:45:35,188.81,A
2016/8/3 20:45:36,189.13,A
2016/8/3 20:45:37,188.31,A
2016/8/3 20:45:38,184.75,A
2016/8/3 20:45:39,182.25,A
2016/8/3 20:45:40,185.69,A
2016/8/3 20:45:41,186.31,A
2016/8/3 20:45:42,185.0,A
2016/8/3 20:45:43,183.25,A
2016/8/3 20:45:44,183.81,A
2016/8/3 20:45:45,183.19,A
2016/8/3 20:45:46,188.69,A
