Epoch,Time,Heading,Expected
2016/8/3,02:26:39 AM,134.13,180
2016/8/3,02:26:40 AM,143.06,180
2016/8/3,02:26:41 AM,152.19,180
2016/8/3,02:26:42 AM,158.63,180
2016/8/3,02:26:43 AM,170.94,180
2016/8/3,02:26:44 AM,168.31,180
2016/8/3,02:26:45 AM,172.63,180
2016/8/3,02:26:46 AM,179.06,180
2016/8/3,02:26:47 AM,179.94,180
2016/8/3,02:26:48 AM,181.38,180
2016/8/3,02:26:49 AM,181.94,180
2016/8/3,02:26:50 AM,176.88,180
2016/8/3,02:26:51 AM,175.63,180
2016/8/3,02:26:53 AM,179.5,180
2016/8/3,02:26:54 AM,174,180
2016/8/3,02:26:55 AM,175.25,180
2016/8/3,02:26:56 AM,176.25,180
2016/8/3,02:26:57 AM,177.5,180
2016/8/3,02:26:58 AM,173.06,180
2016/8/3,02:26:59 AM,174.81,180
2016/8/3,02:27:00 AM,181.56,180
2016/8/3,02:27:01 AM,172.63,180
2016/8/3,02:27:02 AM,179,180
2016/8/3,02:27:03 AM,177.31,180
2016/8/3,02:27:04 AM,174.13,180
2016/8/3,02:27:05 AM,174,180
2016/8/3,02:27:06 AM,174.63,180
2016/8/3,02:27:07 AM,175.31,180
2016/8/3,02:27:08 AM,177.38,180
2016/8/3,02:27:09 AM,177.75,180
2016/8/3,02:27:10 AM,178.06,180
2016/8/3,02:27:11 AM,179.19,180
2016/8/3,02:27:12 AM,179.44,180
2016/8/3,02:27:13 AM,174.75,180
2016/8/3,02:27:14 AM,188.63,180
2016/8/3,02:27:15 AM,187,180
2016/8/3,02:27:16 AM,191.75,180
2016/8/3,02:27:17 AM,182.63,180
2016/8/3,02:27:18 AM,209.94,180
2016/8/3,02:27:19 AM,188.25,180
2016/8/3,02:27:20 AM,180.38,180
2016/8/3,02:27:21 AM,178.75,180
2016/8/3,02:27:22 AM,160.63,180
2016/8/3,02:27:23 AM,164.19,180
2016/8/3,02:27:24 AM,174.44,180
2016/8/3,02:27:25 AM,170.31,180
2016/8/3,02:27:26 AM,174,180
2016/8/3,02:27:27 AM,170.38,180
2016/8/3,02:27:28 AM,170.13,180
2016/8/3,02:27:29 AM,170.69,180
2016/8/3,02:27:30 AM,171.31,180
2016/8/3,02:27:31 AM,175.06,180
2016/8/3,02:27:32 AM,172.5,180
2016/8/3,02:27:33 AM,180.63,180
2016/8/3,02:27:34 AM,179.75,180
2016/8/3,02:27:35 AM,183,180
2016/8/3,02:27:36 AM,184,180
2016/8/3,02:27:37 AM,179.69,180
2016/8/3,02:27:39 AM,171.31,180
2016/8/3,02:27:40 AM,167.63,180
2016/8/3,02:27:41 AM,169.06,180
2016/8/3,02:27:42 AM,167.31,180
2016/8/3,02:27:43 AM,167.06,180
