Epoch Time,Heading
2016/8/5 20:29:44,176.25,@
2016/8/5 20:29:45,178.13,@
2016/8/5 20:29:46,152.25,@
2016/8/5 20:29:47,176.38,@
2016/8/5 20:29:48,165.31,@
2016/8/5 20:29:49,164.81,@
2016/8/5 20:29:50,174.13,@
2016/8/5 20:29:51,171.19,@
2016/8/5 20:29:52,178.5,@
2016/8/5 20:29:53,177.19,@
2016/8/5 20:29:54,176.63,@
2016/8/5 20:29:55,176.63,@
2016/8/5 20:29:56,176.63,@
2016/8/5 20:29:57,176.63,@
2016/8/5 20:29:58,176.63,@
2016/8/5 20:29:59,176.63,@
2016/8/5 20:30:00,176.63,@
2016/8/5 20:30:01,176.63,@
2016/8/5 20:30:02,176.63,@
2016/8/5 20:30:03,176.63,@
2016/8/5 20:30:04,176.06,@
2016/8/5 20:30:05,175.94,@
2016/8/5 20:30:06,175.94,@
2016/8/5 20:30:07,177.25,@
2016/8/5 20:30:08,176.88,@
2016/8/5 20:30:09,176.94,@
2016/8/5 20:30:10,177.06,@
2016/8/5 20:30:11,176.44,@
2016/8/5 20:30:12,177.25,@
2016/8/5 20:30:13,179.31,@
2016/8/5 20:30:14,178.81,@
2016/8/5 20:30:15,181.38,@
2016/8/5 20:30:16,180.63,@
2016/8/5 20:30:17,180.19,@
2016/8/5 20:30:19,181.13,@
2016/8/5 20:30:20,182.44,@
2016/8/5 20:30:21,182.31,@
2016/8/5 20:30:22,182.0,@
2016/8/5 20:30:23,184.06,@
2016/8/5 20:30:24,183.75,@
2016/8/5 20:30:25,184.56,@
2016/8/5 20:30:26,187.38,@
2016/8/5 20:30:27,187.19,@
2016/8/5 20:30:28,187.63,A
2016/8/5 20:30:29,186.88,A
2016/8/5 20:30:30,187.31,A
2016/8/5 20:30:31,187.06,A
2016/8/5 20:30:32,190.13,A
2016/8/5 20:30:33,191.13,A
2016/8/5 20:30:34,192.63,A
2016/8/5 20:30:35,193.38,A
2016/8/5 20:30:36,195.31,A
2016/8/5 20:30:37,192.5,A
2016/8/5 20:30:38,189.56,A
2016/8/5 20:30:39,187.0,A
2016/8/5 20:30:40,186.56,A
2016/8/5 20:30:41,187.69,A
2016/8/5 20:30:42,187.38,A
2016/8/5 20:30:43,186.25,A
2016/8/5 20:30:44,187.19,A
2016/8/5 20:30:45,189.31,A
2016/8/5 20:30:46,190.63,A
2016/8/5 20:30:47,187.81,A
2016/8/5 20:30:48,187.44,A
2016/8/5 20:30:49,188.19,A
2016/8/5 20:30:50,191.25,A
2016/8/5 20:30:51,192.44,A
2016/8/5 20:30:52,191.63,A
2016/8/5 20:30:53,191.5,A
2016/8/5 20:30:54,191.06,A
2016/8/5 20:30:55,192.5,A
2016/8/5 20:30:56,194.31,A
2016/8/5 20:30:57,195.06,A
2016/8/5 20:30:58,194.81,A
2016/8/5 20:30:59,196.5,A
2016/8/5 20:31:00,194.56,A
2016/8/5 20:31:01,190.63,A
2016/8/5 20:31:02,189.0,A
2016/8/5 20:31:03,188.88,A
2016/8/5 20:31:04,186.5,A
2016/8/5 20:31:05,184.44,A
2016/8/5 20:31:06,187.56,A
2016/8/5 20:31:07,188.13,A
2016/8/5 20:31:08,187.88,A
2016/8/5 20:31:09,189.88,A
2016/8/5 20:31:10,190.19,A
2016/8/5 20:31:11,188.63,A
2016/8/5 20:31:13,189.06,A
2016/8/5 20:31:14,182.19,B
2016/8/5 20:31:15,159.88,B
2016/8/5 20:31:16,136.38,B
2016/8/5 20:31:17,118.25,B
2016/8/5 20:31:18,109.56,B
2016/8/5 20:31:19,113.06,B
2016/8/5 20:31:20,113.94,B
2016/8/5 20:31:21,112.62,B
2016/8/5 20:31:22,112.19,B
2016/8/5 20:31:23,109.75,B
2016/8/5 20:31:24,106.87,B
2016/8/5 20:31:25,103.81,B
2016/8/5 20:31:26,103.31,B
2016/8/5 20:31:27,104.12,B
2016/8/5 20:31:28,104.94,B
2016/8/5 20:31:29,108.81,B
2016/8/5 20:31:30,114.12,B
2016/8/5 20:31:31,109.62,B
2016/8/5 20:31:32,109.0,B
2016/8/5 20:31:33,106.56,B
2016/8/5 20:31:34,108.56,B
2016/8/5 20:31:35,112.44,B
2016/8/5 20:31:36,111.12,B
2016/8/5 20:31:37,109.75,B
2016/8/5 20:31:38,111.81,B
2016/8/5 20:31:39,112.87,B
2016/8/5 20:31:40,113.37,B
2016/8/5 20:31:41,112.75,B
2016/8/5 20:31:42,112.56,B
2016/8/5 20:31:43,113.31,B
2016/8/5 20:31:44,114.94,B
2016/8/5 20:31:45,116.81,B
2016/8/5 20:31:46,119.62,B
2016/8/5 20:31:47,120.75,B
2016/8/5 20:31:48,123.25,B
2016/8/5 20:31:49,133.81,B
2016/8/5 20:31:50,143.69,C
2016/8/5 20:31:51,148.56,C
2016/8/5 20:31:52,151.44,C
2016/8/5 20:31:53,152.31,C
2016/8/5 20:31:54,153.31,C
2016/8/5 20:31:55,155.0,C
2016/8/5 20:31:56,156.44,C
2016/8/5 20:31:57,142.44,C
2016/8/5 20:31:58,155.0,C
2016/8/5 20:31:59,156.94,C
2016/8/5 20:32:00,157.94,C
2016/8/5 20:32:01,160.25,C
2016/8/5 20:32:02,162.5,C
2016/8/5 20:32:03,162.31,C
2016/8/5 20:32:04,163.63,C
2016/8/5 20:32:05,162.56,C
2016/8/5 20:32:06,164.44,C
2016/8/5 20:32:07,166.06,C
2016/8/5 20:32:08,165.81,C
2016/8/5 20:32:09,168.13,C
2016/8/5 20:32:11,167.44,C
2016/8/5 20:32:12,169.88,C
2016/8/5 20:32:13,169.56,C
2016/8/5 20:32:14,168.63,C
2016/8/5 20:32:15,170.69,C
2016/8/5 20:32:16,173.13,C
2016/8/5 20:32:17,173.75,C
2016/8/5 20:32:18,174.56,C
2016/8/5 20:32:19,178.13,C
2016/8/5 20:32:20,180.06,C
2016/8/5 20:32:21,179.94,C
2016/8/5 20:32:22,182.81,C
2016/8/5 20:32:23,185.13,C
2016/8/5 20:32:24,186.63,C
2016/8/5 20:32:25,187.5,C
2016/8/5 20:32:26,190.44,C
2016/8/5 20:32:27,195.06,C
2016/8/5 20:32:28,204.75,C
2016/8/5 20:32:29,212.75,C
2016/8/5 20:32:30,218.19,C
2016/8/5 20:32:31,219.81,C
2016/8/5 20:32:32,220.44,C
2016/8/5 20:32:33,222.19,D
2016/8/5 20:32:34,222.75,D
2016/8/5 20:32:35,225.31,D
