Time,Lat,Lon,Heading
2016/7/27 15:28:19,41.355,-88.787,359.94
2016/7/27 15:28:21,41.78776333333333,-88.35593,356.68007140112013
2016/7/27 15:28:23,41.78776333333333,-88.35592666666666,338.8000687431857
2016/7/27 15:28:25,41.787765,-88.35592333333334,306.8700658254842
2016/7/27 15:28:27,41.787765,-88.35592666666666,304.8000684834186
2016/7/27 15:28:29,41.355,-88.787,6.0
2016/7/27 15:28:31,41.78776666666667,-88.35594166666667,80.68008018435735
2016/7/27 15:28:33,41.787765,-88.35592833333334,95.4900698123859
2016/7/27 15:28:35,41.78776666666667,-88.35592333333334,95.61006556571698
2016/7/27 15:28:37,41.787765,-88.35592833333334,95.5500698123859
2016/7/27 15:28:39,41.78776333333333,-88.35592833333334,95.49007007215295
2016/7/27 15:28:41,41.78776333333333,-88.35592666666666,95.55006874318572
2016/7/27 15:28:43,41.78776166666667,-88.35592666666666,95.68006900295278
2016/7/27 15:28:45,41.355,-88.787,98.75
2016/7/27 15:28:47,41.78776333333333,-88.35592499999998,95.61006741421852
2016/7/27 15:28:49,41.78776333333333,-88.35592333333334,96.18006608525131
2016/7/27 15:28:51,41.78776333333333,-88.35592166666666,96.49006475628411
2016/7/27 15:28:54,41.355,-88.787,99.75
2016/7/27 15:28:56,41.78776333333333,-88.35591333333333,94.55005811144822
2016/7/27 15:28:58,41.78776333333333,-88.35590833333333,93.43005412454676
2016/7/27 15:29:00,41.78776333333333,-88.35590333333333,251.49005013764537
2016/7/27 15:29:02,41.78776333333333,-88.35589833333333,251.680046150744
2016/7/27 15:29:04,41.78776166666667,-88.35589333333333,254.4300424236105
2016/7/27 15:29:06,41.78776,-88.35589166666666,263.93004135441123
2016/7/27 15:29:08,41.78775666666667,-88.35589333333333,235.99004320291368
2016/7/27 15:29:10,41.78775333333333,-88.355895,223.12004505141587
2016/7/27 15:29:12,41.78774833333333,-88.35589666666667,245.6800471596853
2016/7/27 15:29:14,41.787746666666656,-88.35589666666667,276.30004741945277
2016/7/27 15:29:16,41.787746666666656,-88.35589666666667,284.80004741945277
2016/7/27 15:29:18,41.78774833333333,-88.355895,267.62004583071854
2016/7/27 15:29:20,41.78775,-88.35589333333333,277.4900442419842
2016/7/27 15:29:22,41.78774833333333,-88.355895,275.49004583071854
2016/7/27 15:29:24,41.78774833333333,-88.355895,282.05004583071855
2016/7/27 15:29:26,41.787746666666656,-88.35589333333333,277.0500447615193
2016/7/27 15:29:28,41.787746666666656,-88.355895,274.370046090486
2016/7/27 15:29:30,41.787744999999994,-88.355895,275.4300463502535
2016/7/27 15:29:32,41.78774166666667,-88.35589666666667,274.180048198755
2016/7/27 15:29:34,41.355,-88.787,276.19
2016/7/27 15:29:36,41.78773833333333,-88.3559,274.5500513762228
2016/7/27 15:29:38,41.78773833333333,-88.3559,257.9900513762228
2016/7/27 15:29:40,41.78774,-88.35589833333333,261.12004978748894
2016/7/27 15:29:42,41.78774166666667,-88.35589666666667,267.620048198755
2016/7/27 15:29:44,41.78774166666667,-88.355895,264.8700468697884
2016/7/27 15:29:46,41.78774,-88.355895,279.74004712955576
2016/7/27 15:29:48,41.78774,-88.35589666666667,267.6200484585223
2016/7/27 15:29:50,41.355,-88.787,186.0
2016/7/27 15:29:52,41.78773833333333,-88.35590333333333,163.93005403415594
2016/7/27 15:29:54,41.78773833333333,-88.355905,160.4900553631225
2016/7/27 15:29:56,41.78773666666667,-88.35590333333333,157.5500542939231
2016/7/27 15:29:57,41.355,-88.787,160.81
2016/7/27 15:29:59,41.78773666666667,-88.35590166666667,
2016/7/27 15:30:01,41.78773666666667,-88.35589833333333,154.12005030702346
2016/7/27 15:30:03,41.78774,-88.3559,149.43005111645553
2016/7/27 15:30:05,41.787735,-88.35592833333334,122.04007448818848
2016/7/27 15:30:07,41.78774,-88.35594333333333,124.04008566958927
2016/7/27 15:30:08,41.78774,-88.35595333333333,132.30009364338997
2016/7/27 15:30:10,41.787746666666656,-88.35595,139.49008994639146
2016/7/27 15:30:12,41.787744999999994,-88.355955,139.87009419305846
2016/7/27 15:30:14,41.787746666666656,-88.355955,138.8700939332923
2016/7/27 15:30:16,41.78774166666667,-88.35596,137.05009869949123
2016/7/27 15:30:18,41.787725,-88.35596,144.80010129714964
2016/7/27 15:30:20,41.787705,-88.35596,142.7401044143361
2016/7/27 15:30:22,41.78769,-88.355955,136.87010276532615
2016/7/27 15:30:24,41.78767666666667,-88.35593666666666,138.1800902248279
2016/7/27 15:30:26,41.787658333333326,-88.35592333333334,140.9900824505264
